बचाओ!	Help!
मुसलाधार बारिश होती है।	It's raining cats and dogs.
मुसलाधार वर्षा होती है।	It's raining cats and dogs.
उसके हाथ-पैर लम्बे हैं।	She has long arms and legs.
बत्ती बंद करदो, प्लीज़।	Turn off the light, please.
हमारे औरडर का क्या हुआ?	What happened to our order?
कनाडा जापान से बड़ा है।	Canada is larger than Japan.
इटली की राजधानी रोम है।	The capital of Italy is Rome.
तुम यूरोप कब जा रहे हो?	When are you going to Europe?
फ़िल्म देखने चलें क्या?	How about going to the movies?
यह नदी एक मील चौड़ी है।	This river is one mile across.
पत्र किसको लिखा गया था?	Who was the letter written to?
आपका दल हमसे बेहतर है |	Your team is better than ours.
मैं तुमसे खुश नहीं हूँ।	I have a bone to pick with you.
मुझे एक कप कॉफ़ी चाहिए।	I want to have a cup of coffee.
बच्चे पतंग उड़ा रहे थे।	The children were flying kites.
हिरण अकेले दौड़ रहा था।	The deer was running by itself.
विमान तीन बजे पहुँचेगा।	The plane will arrive at three.
तुम्हे कल आना चाहिए था।	You should have come yesterday.
टीवी चालू कर दोगे क्या?	Will you turn on the television?
सम्मेलन कल समाप्त होगा।	The conference will end tomorrow.
मुझे गुफ़ा में ये मिला।	This is what I found in the cave.
मैं कल गाँव जा रहा हूँ।	I'm going to the village tomorrow.
तुम लंदन से कब वापस आए?	When did you get back from London?
बच्चा पालनी में सो गया।	The baby fell asleep in the cradle.
हम इस विषय पर सहमत हैं।	We are in agreement on this subject.
यह कपड़ा बहुत रेशमी है।	This cloth is really smooth and silky.
एसी बहुत आवाज़ करता है।	The air conditioner makes too much noise.
मैं आपसे प्यार करता हूँ।	I love you.
मैं आपसे प्यार करती हूँ।	I love you.
मैं तुम्हें फ़ोन करूँगा।	I'll phone you.
तुम थके-हारे से लगते हो।	You look tired.
मैंने रात का खाना पकाया।	I cooked dinner.
मुझे कोई आवाज़ सुनाई दी।	I heard a noise.
मैं विद्यार्थी नहीं हूँ।	I'm not a student.
हम बात कर सकते हैं क्या?	Can we have a talk?
वह बैंक में काम करता है।	He works at a bank.
मैंने पूरी रात काम किया।	I worked all night.
उसने खुशी से मुस्कुराया।	She smiled happily.
वे जिमखाने में हैं क्या?	Are they in the gym?
वह जल्द ही ठीक हो जाएगा।	He'll get well soon.
मुझे शहर का नक्शा चाहिए।	I'd like a city map.
ज़बान सम्भाल के बात करो।	Watch your language.
तुम्हारी किताब कौनसी है?	Which book is yours?
तुम हमारे साथ आओगे क्या?	Will you go with us?
उसने कोई बहाना बना लिया।	He made up an excuse.
वह कामयाब होना चाहता था।	He wanted to succeed.
मैंने अपनी ऊँगली काट ली।	I just cut my finger.
मैं कभी वापस नहीं आऊँगा।	I'll never come back.
दरवाज़े को बंद कर दीजिए।	Please shut the door.
उस आदमी ने मेरी ओर देखा।	The man looked at me.
उसे बहुत सारा पैसा मिला।	He got a lot of money.
उसने गाते गाते काम किया।	He sang while working.
मई अप्रैल के बाद आता है।	May comes after April.
सारे पंछी उड़ नहीं सकते।	Not all birds can fly.
दरवाज़े को बंद कर दीजिए।	Please close the door.
तुम दोनो क्या कर रहे हो?	What're you two doing?
तुम दोनो क्या कर रहे थे?	What're you two doing?
जैसा बोओगे, वैसा काटोगे।	You reap what you sow.
उसने दरवाज़े पर खटखटाया।	He knocked at the door.
उसने किताब को फाड़ डाला।	He tore the book apart.
मैं तुमसे सहमत नहीं हूँ।	I don't agree with you.
मैं स्कूल चलकर जाती हूँ।	I go to school on foot.
मुझे बुखार जैसा लगता है।	I seem to have a fever.
वह बहुत पैसेवाली औरत है।	She is a wealthy woman.
वह तेल में पकाया गया है।	That was cooked in oil.
कुरसियाँ काफ़ी हैं क्या?	Are there enough chairs?
आप टीवी देखतें हैं क्या?	Do you watch television?
उसने आसमान की तरफ़ देखा।	He looked up at the sky.
वह एक बार फिर देर से आई।	She was late once again.
यह उसपर भी लागु होता है।	That applies to him too.
उन्हें तुमसे डर लगता था।	They were afraid of you.
अपना मूँह इस तरफ़ मोड़ो।	Turn your face this way.
हम सब एक-साथ खड़े हो गए।	We all stood up at once.
हम कल शायद नहीं जीतेंगे।	We may not win tomorrow.
वह मेरी बात नहीं सुनेगा।	He will not listen to me.
मुझसे और नहीं चला जाएगा।	I can't walk any further.
मेरा भाग जाने का मन हुआ।	I felt like running away.
क्या आपके पापा टीचर हैं?	Is your father a teacher?
डॉक्टर ने मेरी नब्ज़ ली।	The doctor felt my pulse.
टोक्यो बहुत बड़ा शहर है।	Tokyo is a very big city.
तुम्हारी शादी कब हुई थी?	When did you get married?
तुमने मुझे पागल कर दिया।	You made me lose my mind.
आज सेव सस्ते बिक रहे थे।	Apples were on sale today.
वह अमरीका से वापस आ गया।	He came back from America.
वह सबका मज़ाक उड़ाता है।	He makes fun of everybody.
वह अक्सर गिटार बजाता है।	He often plays the guitar.
वह वहाँ जाने से डरता था।	He was afraid to go there.
मुझे गाड़ी चलाना आता है।	I know how to drive a car.
मुझे उसके मरने का डर था।	I was afraid he might die.
यह मेरे दोस्त के लिए है।	It's for a friend of mine.
दुश्मन पास नहीं आ पाएगा।	The enemy won't get close.
यह मेज़ लकड़ी की बनी है।	This desk is made of wood.
तुम्हे तुरंत जाना चाहिए।	You had better go at once.
वह अचानक से मशहूर बन गई।	She suddenly became famous.
बरसात पूरे दिन होती रही।	The rain continued all day.
यह वर्षा ऋतु का मौसम है।	This is the monsoon season.
यह शब्द ग्रीक से आता है।	This word comes from Greek.
हमने उसका जन्मदिन मनाया।	We celebrated his birthday.
इस पक्षी का नाम क्या है?	What do you call this bird?
सारा ब्रॅड कहाँ चला गया?	Where did all the bread go?
बत्ती चालू कर दोगे क्या?	Will you turn on the light?
सब टॉम के लिए दुःखी थे I	Everyone felt sorry for Tom.
सभी उसकी अच्छाई करते है।	Everyone speaks well of him.
गरम पानी नहीं चल रहा है।	The hot water isn't running.
वह टेनिस अच्छा खेलता है।	He is good at playing tennis.
बोलो तुम्हे कौनसा चाहिए।	Say which one you would like.
उसने मुझसे वह बात छिपाई।	He concealed the fact from me.
मुझे बच्चे को सुलाना है।	I have to put the baby to bed.
कुत्ते को रोज़ खिलाईएगा।	Please feed the dog every day.
वे उसे समझदार मानते हैं।	They consider him intelligent.
इससे सस्ता वाला है क्या?	Do you have one that's cheaper?
मेरा शौक गिटार बजाना है।	My hobby is playing the guitar.
वह दूर से हसीना लगती है।	She's a beauty from a distance.
कुत्ता रातभर भौंकता रहा।	The dog kept barking all night.
वह अगले स्टॉप पर उतर गई।	She got off at the next station.
ट्रेन हल्के से आकर रुकी।	The train came to a smooth stop.
इस कहानी का लेखक कौन है?	Who is the author of this story?
वह मुझसे दो साल छोटी है।	She is two years younger than me.
उस दिन हवा बहुत तेज़ थी।	There was a strong wind that day.
आठ से दस बजे के बीच हुआ।	It happened between eight and ten.
आठ से दस बजे के बीच हुई।	It happened between eight and ten.
कल मौसम अच्छा होगा क्या?	Will the weather be good tomorrow?
ग़लतियाँ करने से मत डरो।	Don't be afraid of making mistakes.
यह एक अच्छा अखबार है ना?	This is a good newspaper, isn't it?
मैं कल कनाडा वापस आऊँगा।	I will come back to Canada tomorrow.
कुरसियाँ काफ़ी हैं क्या?	Are there enough chairs to go around?
वह पहली बार पैरिस गई थी।	She went to Paris for the first time.
जहाज़ में कितने लोग हैं?	How many people are on board the ship?
आज ट्रेन दस मिनट लेट है।	The train is ten minutes behind today.
काम कल तक खतम होना होगा।	The work must be completed by tomorrow.
गाँव में सीधे जाते रहिए।	Keep going straight through the village.
मेरे पास आज बहुत काम है।	I have a lot of work to get through today.
वह खबर सुनते ही रो पड़ी।	She burst into tears when she heard the news.
मेरा दीवालिया हो चुका है।	I'm broke.
मैं तुमसे प्यार करती हूँ।	I love you.
मैं तुमसे प्यार करता हूँ।	I love you.
मैं अंदर आ सकता हूँ क्या?	May I come in?
मैं रोज़ दौड़ने जाता हूँ।	I run every day.
वह तुमसे प्यार करता होगा।	He must love you.
मै फिर से कोशिश करता हूँ।	Let me try again.
जापान में आपका स्वागत है।	Welcome to Japan.
लड़के तो लड़के ही रहेंगे।	Boys will be boys.
मैं कुछ कर सकता हूँ क्या?	Can I do anything?
आप बाहर नहीं गए थें क्या?	Didn't you go out?
तुम बाहर नहीं गए थे क्या?	Didn't you go out?
तू बाहर नहीं गया था क्या?	Didn't you go out?
मैंने उसे भागते हुए देखा।	I saw him running.
तुम्हें मैं याद हूँ क्या?	Do you remember me?
उसने अपनी आँखें बंद करीं।	He closed his eyes.
मैं अपनी ग़लती मानता हूँ।	I admit my mistake.
मुझे वह अच्छा सा लगता है।	I sort of like him.
मैं १९६० में पैदा हुआ था।	I was born in 1960.
मैं १९७९ में पैदा हुआ था।	I was born in 1979.
उसकी कहानी सच्ची थी क्या?	Was his story true?
तुम्हारा कुत्ता कौनसा है?	Which dog is yours?
मैंने पुरानी गाड़ी खरीदी।	I bought an old car.
मेरी बहन के पास नौकरी है।	My sister has a job.
आप विदेश गए हुए हैं क्या?	Have you been abroad?
मैं इस योजना से सहमत हूँ।	I agree to this plan.
मेरे ख़याल से तुम सही हो।	I think you're right.
वह किताब पढ़ रहा है क्या?	Is he reading a book?
तुम राज़ रख सकते हो क्या?	Can you keep a secret?
वह पिछले हफ़्ते बीमार था।	He was sick last week.
तुम्हे आज कैसा लग रहा है?	How do you feel today?
मैं हड़बड़ी में दौड़ गया।	I ran away in a hurry.
जहाँ भी घुसाना है घुसादो।	Put it where you like.
झील यहाँ पर बहुत गहरी है।	The lake is deep here.
हमने थोड़ी देर आराम किया।	We rested for a while.
तुमने पूरा पढ़ लिया क्या?	Did you read it at all?
मुझे एक ब्लडी मेरी चाहिए।	I'd like a Bloody Mary.
क्या आज कोई अनुपस्थित है?	Is anyone absent today?
आज कोई है जो नहीं आया है?	Is anyone absent today?
मेरे पिता बहुत अच्छे हैं।	My father is very nice.
मेरे पापा बहुत अच्छे हैं।	My father is very nice.
वह पियानो बजाना जानती है।	She can play the piano.
उसने पैसेवाले से शादी की।	She married a rich man.
यह एक बहुत अच्छा सवाल है।	That's a good question.
उसको नौकरी नहीं मिल पायी।	He couldn't get the job.
मैं आपके लिए कुरसी लेआऊँ?	Shall I get you a chair?
उसने एक दर्जन अंडे खरीदे।	She bought a dozen eggs.
उसकी राष्ट्रीयता क्या है?	What is his nationality?
तुम्हारे पास कलम है क्या?	Do you have a pen on you?
मुझे खाँसी की दवाई चाहिए।	I need coughing medicine.
मैं भारत की यात्रा पर था।	I was on a trip to India.
मैं उसको यह बात समझाउँगा।	I will explain it to her.
मैं उसको यह बात समझाउँगा।	I will explain it to him.
काश तुम स्पैनिश बोल सकते।	I wish you spoke Spanish.
हम हवा के बिना मर जाएँगे।	We would die without air.
तुम कितने बजे घर जाते हो?	What time do you go home?
A B से पाँचगुना लम्बा है।	A is 5 times as long as B.
दरवाज़े को खुला मत छोड़ो।	Don't leave the door open.
वह तुम्हें समझता नहीं है।	He doesn't understand you.
उसने थोड़ी देर हिचकिचाया।	He hesitated for a moment.
उसे मौत की सज़ा दे दी गई।	He was sentenced to death.
मैं रोज़ छः बजे उठता हूँ।	I get up at six every day.
मेरे पास फ़ेसबुक खाता है।	I have a Facebook account.
उसने सब कुछ अपने-आप किया।	She did it all by herself.
हम तालाब के आस-पास टहलें।	We walked around the pond.
तुमने कभी क्वाला देखा है?	Have you ever seen a koala?
हमारी ट्रेन अचानक रुक गई।	Our train stopped suddenly.
अपना अच्छे से ख़याल रखना।	Take good care of yourself.
दुल्हन अचानक से हँस पड़ी।	The bride suddenly laughed.
पेंट अभी तक सूखा नहीं है।	The paint hasn't dried yet.
मेज़ पर बस्ता रखा हुआ है।	There is a bag on the desk.
कृपया बत्ती बंद कर दीजिए।	Turn off the light, please.
हम सब उसके मज़ाक पर हँसे।	We all laughed at his joke.
हमने उसका हिसाब लगा लिया।	We've got that figured out.
उसने मुझे वह नियम समझाया।	He explained the rule to me.
वह अपनी क़ब्र खोद रहा है।	He is digging his own grave.
उसने यह किताब कल पढ़ी थी।	He read this book yesterday.
आप यहाँ कितने दिन रहेंगे?	How long will you stay here?
मैं अपना काम कर चुका हूँ।	I have already done my work.
मैं कल उससे मिलने जाऊँगा।	I will call on him tomorrow.
जहाँ भी घुसाना है घुसादो।	Insert it wherever you like.
वह मेरे लिए बहुत कठिन था।	It was too difficult for me.
देखो बाहर क्या हो रहा है।	See what's going on outside.
उसने गलत नम्बर मिला डाला।	She dialed the wrong number.
तुम कभी कनाडा गए हो क्या?	Have you ever been to Canada?
वह कल तुमसे मिलने आया था।	He came to see you yesterday.
उसे मेहनत करने की आदत है।	He is accustomed to hard work.
मैं सफ़र पर उसके साथ गया।	I accompanied him on the trip.
मुझे उसको देखा नहीं जाता।	I can't bear the sight of him.
राजा की देश पर हुकूमत थी।	The king governed the country.
तुम किस तरह का काम करोगे?	What kind of work will you do?
तुम कुरसी पर बैठ सकते हो।	You may sit down on the chair.
वह नतीजे के लिए बेचैन है।	He is anxious about the result.
मुझे नहीं पता वह कब आएगा।	I don't know when he will come.
यहाँ पर कल फिर मिलते हैं।	Let's meet here again tomorrow.
यहाँ एक चर्च हुआ करता था।	There used to be a church here.
यह मेरी बहन की तस्वीर है।	This is a picture of my sister.
वह ग़लती करने से डरता है।	He is afraid of making mistakes.
उसने एक किलो मक्खन खरीदा।	She bought two pounds of butter.
भारत की जनसंख्या क्या है?	What is the population of India?
तुम दफ़्तर क्यों नहीं गए?	Why didn't you go to the office?
जब वह आया मैं नहा रहा था।	I was taking a bath when he came.
उस पहाड़ की चोटी चपटी है।	The top of that mountain is flat.
ये पेड़ उन्होंने लगाए थे।	These trees were planted by them.
वह खबर सुनकर हैरान रह गई।	She was very surprised at the news.
गड्ढा पाँच फ़ुट चौड़ा है।	The hole is about five feet across.
यह मशीन बिजली से चलती है।	This machine is driven by electricity.
पौधे बारिश के बिना मर गए।	Absence of rain caused the plants to die.
यहाँ बेसबॉल खेलना मना है।	You are not supposed to play baseball here.
मैं भूख से मरा जा रहा हूँ।	I'm starving!
कुछ मछलियाँ उड़ सकतीं हैं।	Some fish fly.
मुझे एक तो खरीदना ही होगा।	I must buy one.
तुम्हारे पास चावल है क्या?	Do you have rice?
उसे संत्रे अच्छे लगते हैं।	He likes oranges.
उसे नारंगी अच्छे लगते हैं।	He likes oranges.
मैं आस-पड़ोस में रहता हूँ।	I live near here.
यहाँ अपना हस्ताक्षर कीजिए।	Please sign here.
चिड़ियाँ घोसले बनातीं हैं।	Birds build nests.
क्या तुम्हे मुझपर यकीन है?	Do you believe me?
मैंने उसे दौड़ते हुए देखा।	I saw him running.
मैं बैंक में काम करता हूँ।	I work for a bank.
मेरा बस्ता चोरी हो गया था।	My bag was stolen.
वह मेरा चचेरा भाई नहीं है।	He isn't my cousin.
वह मेरा ममेरा भाई नहीं है।	He isn't my cousin.
मैं उन औरतों को जानता हूँ।	I know those women.
क्या यह किताब तुम्हारी है?	Is this book yours?
कोई मेरी मदद नहीं कर सकता।	No one can help me.
गुलदान को किसने तोड़ दिया?	Who broke the vase?
वह मेरे पड़ोस में रहता है।	He lives next to me.
मैंने अभी तक नहीं खाया है।	I haven't eaten yet.
तुम उसपर भरोसा कर सकते हो।	You may rely on him.
आपको मुझे क्षमा करना होगा।	You must forgive me.
उसने पैसों के लिए शादी की।	He married for money.
मैं बड़े शहर में रहता हूँ।	I live in a big city.
मुझे अपने पैसे वापस चाहिए।	I want my money back.
मुझे तुम्हें घर लेजाने दो।	Let me take you home.
तुम वह साबित नहीं कर सकते।	You can't prove that.
क्या आपको अपना नाप पता है?	Do you know your size?
उसका निशाना बहुत अच्छा है।	He is a sharp-shooter.
मैं कोरिया जाना चाहता हूँ।	I want to visit Korea.
तुम्हारी घड़ी सही है क्या?	Is your watch correct?
मेरी गाड़ी चल नहीं रही है।	My car is not running.
उसने मेरा बस्ता चुरा लिया।	He robbed me of my bag.
वह भौतिक विज्ञान समझता है।	He understands physics.
मैं सात बजे सोकर उठता हूँ।	I wake up at 7 o'clock.
मैं अभी हवाईअड्डे में हूँ।	I'm at the airport now.
जॉन न्यूयॉर्क में रहता है।	John lives in New York.
मेरा पेट गुड़गुड़ा रहा है।	My stomach is growling.
बच्चे ने रोना बंद कर दिया।	The baby ceased crying.
तुम्हारे पास काफ़ी समय था।	You had plenty of time.
उसको मेहनत करने की आदत है।	He is used to hard work.
हम चाय में चीनी डालते हैं।	We put sugar in our tea.
तुम्हारे कोई भाई हैं क्या?	Do you have any brothers?
उस चाबी के साथतानी मत करो!	Don't play with that key!
वह संगीत का बहुत शौकीन है।	He is very fond of music.
मुझे पियानो बजाना पसंद है।	I like playing the piano.
मुझे उनकी मदद करनी पड़ेगी।	I will have to help them.
मुझे अपने पैसे वापस चाहिए।	I'd like to get a refund.
लोहा सोने से सख्त होता है।	Iron is harder than gold.
क्या आपके पिताजी टीचर हैं?	Is your father a teacher?
ऐसा लगता है कि वह अमीर है।	It seems that he is rich.
उसको बहादुरी की ज़रूरत है।	What he lacks is courage.
हाँ, मुझे यह बहुत पसंद है।	Yes, I like it very much.
तुम साथ आना चाहते हो क्या?	Do you want to come along?
वह आसमान की ओर देख रहा था।	He was looking at the sky.
वह बच्चे की तरह सो रहा है।	He's sleeping like a baby.
मैं उससे नाई के यहाँ मिला।	I met him at the barber's.
मैं एक और तौलिया लाती हूँ।	I'll bring one more towel.
मेरा दाहिना पैर सो गया है।	My right foot is sleeping.
वह अभी तक यहाँ नहीं आई है।	She has not come here yet.
कुछ सांप ज़हरीले होते हैं।	Some snakes are poisonous.
क़ैदी को रिहा कर दिया गया।	The prisoner was released.
उन्होंने एक-दूसरे को देखा।	They looked at each other.
हम सब टॉम के लिए दुःखी थे।	We all felt sorry for Tom.
मुझसे बात क्यों कर रहे हो?	Why are you talking to me?
मैं रोज़ बीस मील चलता हूँ।	I cover twenty miles a day.
मुझे बहुत मज़ेदार लगती है!	It seems interesting to me.
मुझे बहुत दिलचस्प लगती है!	It seems interesting to me.
यह गाड़ी जापान में बनी थी।	This car was made in Japan.
हमें नहीं पता हम कहाँ हैं।	We don't know where we are.
हमने उस उम्मीदवार को चुना।	We voted for the candidate.
मैंने उसे तीन बार देखा है।	I have seen her three times.
मानो कोई सपना सच आ गया हो।	It's like a dream come true.
मेरी को स्पा जाना पसंद है।	Mary loves going to the spa.
उसने उसको अकेले जाने दिया।	She allowed him to go alone.
यहाँ धूम्रपान करना मना है।	Smoking is not allowed here.
टॉम ने उसे आग से बचा लिया।	Tom saved her from the fire.
दक्षिण टर्मिनल कहाँ पर है?	Where is the south terminal?
मुझे कॉफ़ी पीना पसंद नहीं।	I don't like to drink coffee.
यह उसकी चिट्ठी का जवाब है।	It's an answer to her letter.
वह समुंदर की ओर चल रहा था।	He was walking toward the sea.
मेज़ के नीचे एक बिल्ली है।	There is a cat under the desk.
इस डब्बे में पाँच सेव हैं।	This box contains five apples.
आज मेरी बहन का जन्मदिन है।	Today is my sister's birthday.
इस चिड़िया का नाम क्या है?	What is the name of this bird?
आज मेरा सोलहवा जन्मदिन है।	Today is my sixteenth birthday.
इस उपन्यास का लेखक कौन है?	Who is the author of the novel?
अंग्रेज़ी वैश्विक भाषा है।	English is the world's language.
पतंग पेड़ में जाकर अटक गई।	The kite got caught in the tree.
वह हर सुबह अखबार पढ़ता है।	He reads the paper every morning.
वह जापान से होकर भारत गया।	He went to India by way of Japan.
लगता है कि तुम भारत के हो।	It looks like you are from India.
उनकी शादी अगले महीने होगी।	They will get married next month.
वह वहाँ उस घर में रहता है।	He lives in that house over there.
वह अपनी माँ जैसी सुंदर है।	She is as beautiful as her mother.
इस डब्बे में पाँच सेव हैं।	There are five apples in this box.
इस महीने दो क़त्ल हुए हैं।	There were two murders this month.
तुम नाश्ता कितने बजे लोगे?	What time will you have breakfast?
उसने बच्चे को आग से बचाया।	He rescued the child from the fire.
तुम आज सुबह यहाँ क्यों आए?	Why did you come here this morning?
वह धीरे-धीरे ठीक हो जाएगा।	He will get better little by little.
प्लान अब तक कामयाब रहा है।	The plan has been successful so far.
तुम कॉलेज जाकर क्या करोगे?	What are you going to do in college?
गाँव पर गहरा कोहरा छा गया।	A thick mist covered the countryside.
रेलगाड़ी में १५ डब्बे हैं।	The train is made up of fifteen cars.
इस साल बहुत बारिश पड़ी है।	There's been a lot of rain this year.
उसने मुझसे एक एहसान माँगा।	He asked me if I could do him a favor.
मैं इस विषय से परिचित हूँ।	I am well acquainted with the subject.
वह कल रात आराम से चल बसीं।	She passed away peacefully last night.
वह अफ़वाह एकदम झूठी निकली।	The rumor proved to be an absolute lie.
कल तीन आदमी जेल से भाग गए।	Three men broke out of prison yesterday.
वह कल पार्टी में नहीं आया।	He did not show up at the party last night.
आज बादल कल से ज़्यादा हैं।	There are more clouds today than yesterday.
मैं यहाँ एक-दो दिन रहूँगा।	I am going to stay here for a couple of days.
इस और उस में क्या अंतर है?	What is the difference between this and that?
बर्दाश्त की भी हद होती है।	There is a limit to how much one can tolerate.
मुझे कुत्ते अच्छे लगते हैं।	I like dogs.
तुम गाड़ी चला सकते हो क्या?	Can you drive?
क्या तुम्हें गोली लग गई थी?	Were you shot?
गर्मियाँ खतम हों चुकीं हैं।	Summer is over.
हम संगीत की पढ़ाई करते हैं।	We study music.
क्या तुम मुझे सिखा सकते हो?	Can you teach me?
क्या तुम मेरा यकीन करते हो?	Do you believe me?
मैं अंग्रेज़ी पढ़ सकता हूँ।	I can read English.
मैं अंग्रेज़ी पढ़ सकती हूँ।	I can read English.
हम युद्ध का विरोध करते हैं।	We are against war.
हमे स्केटिंग करके मज़ा आया।	We enjoyed skating.
तुम गाड़ी चला सकते हो क्या?	Can you drive a car?
उसे बहुत अकेलापन महसूस हुआ।	He felt very lonely.
मैं चाहता था कि वह जीत जाए।	I wanted her to win.
मेरे परिवार को टॉम पसंद था।	My family loved Tom.
तुम्हे मुझे माफ़ करना होगा।	You must forgive me.
मैं तुमपर भरोसा कर रहा हूँ।	I am counting on you.
तुम रेलगाड़ी से जाओगे क्या?	Will you go by train?
तुमने मेरा कैमरा देखा क्या?	Did you see my camera?
वह अंग्रेज़ी बोलता है क्या?	Does he speak English?
मुझे ढंग से तैरना नहीं आता।	I am poor at swimming.
आपको जाने नहीं दे सकता हूँ।	I can't let you leave.
क्या मैरी तुम्हारी बेटी है?	Is Mary your daughter?
हम उनको परेशान कर रहें हैं।	We are disturbing him.
लोमड़ी जंगली जानवर होती है।	A fox is a wild animal.
मछलियाँ पानी में जीतीं हैं।	Fish live in the water.
मैं अपने-आप करना चाहता हूँ।	I want to do it myself.
उसने मुझे अपना कमरा दिखाया।	She showed me her room.
तुम्हारी याददाश्त अच्छी है।	You have a good memory.
शराब की एक बूंद भी मत पियो।	Don't drink any alcohol.
ग्लास रेत से बनाया जाता है।	Glass is made from sand.
उसको घमण्डी होने की आदत है।	He tends to be arrogant.
मुझे अपना काम बहुत पसंद है।	I like my job very much.
बुरी खबर तेज़ी से फैलती है।	Bad news travels quickly.
मुझे यह जैकेट पसंद नहीं है।	I don't like this jacket.
क्या आपके पापा अध्यापक हैं?	Is your father a teacher?
इस कीमत में टैक्स शामिल है।	This amount includes tax.
हमने नदी के किनारे सैर करी।	He walked along the river.
मैं अंग्रेज़ी पढ़ सकता हूँ।	I am able to read English.
मैं अंग्रेज़ी पढ़ सकती हूँ।	I am able to read English.
मैंने कल एक किताब खरीदी थी।	I bought a book yesterday.
मुझे पता लगा कि वह कहाँ थी।	I found out where she was.
मेरे कमरे में टीवी नहीं है।	There is no TV in my room.
हम उसे अपना हीरो मानते हैं।	We regard him as our hero.
वह पिछले साल क्योटो गया था।	He visited Kyoto last year.
ईमानदारी सर्वोत्तम नीति है।	Honesty is the best policy.
वह कितने दिनों से बीमार है?	How long has she been sick?
कहा जाता है कि वह बीमार है।	It is said that he is sick.
सब लोगों के लिए एक समान है।	It's the same for everyone.
"मेरे बॉस ""हाँ"" नहीं कहेंगे।"	My boss will not say 'yes'.
वह अपने कमरे में रो रही थी।	She was crying in her room.
उस आदमी ने मुझे सर पर मारा।	The man hit me on the head.
यह उपन्यास बहुत रोमांचक है।	The novel is very exciting.
हमे अपना वादा निभाना चाहिए।	We should keep our promise.
हम आखिरकार झील तक पहुँच गए।	At last, we got to the lake.
वह हर रोज़ बेसबॉल खेलता है।	He plays baseball every day.
तकरीबन दस एक अरब येन होंगे?	Is it about ten million yen?
यह सरासर समय की बर्बादी है।	It is a sheer waste of time.
किसी ने दरवाज़े पर खटखटाया।	Someone knocked on the door.
कमरे में तम्बाकू की महक थी।	The room smelled of tobacco.
वे दोनों अच्छे अध्यापक हैं।	They are both good teachers.
हम चाय चीनी डालकर पीते हैं।	We drink our tea with sugar.
रेखांकित शब्दों को सुधारिए।	Correct the underlined words.
तुम्हे भाषण देना होगा क्या?	Do you have to make a speech?
वह कैनटीन में लन्च खाता है।	He eats lunch at a cafeteria.
इसलिए क्योंकि तुम लड़की हो।	That's because you're a girl.
चट्टान लगभग बिलकुल सीधी है।	The cliff is almost vertical.
घोड़ा बड़े काम का जानवर है।	The horse is a useful animal.
तुम्हें डॉक्टर बुलाना होगा।	You must send for the doctor.
वह तीन घंटों में वापस आएगा।	He will return within 3 hours.
मैं हर दूसरे दिन नहाता हूँ।	I take a bath every other day.
रोगी ने अपनी आखरी साँस भरी।	The patient breathed his last.
आज मेरी दीदी का जन्मदिन है।	Today is my sister's birthday.
उसने कोआले की तस्वीर खींची।	He took a picture of the koala.
मैं लगभग हर रोज़ नहाता हूँ।	I take a bath almost every day.
थोड़ी ऊँची आवाज़ में बोलिए।	Please speak in a louder voice.
अपनी कमीज़ उतार कर लेट जाओ।	Remove your shirt and lie down.
उस गाड़ी ने बहुत धूल उड़ाई।	The car raised a cloud of dust.
यह दवाई तुम्हारा भला करेगी!	This medicine will do you good!
आप इस घर के मालिक हैं क्या?	Are you the owner of this house?
इसे जल्द-से-जल्द ख़त्म करो ।	Finish this as soon as possible.
मुझे एक गिलास पानी देदीजिए।	Please give me a glass of water.
यहाँ तैरना बहुत ख़तरनाक है।	Swimming here is very dangerous.
अपने हाथ इस तौलिए से पोंछो।	Wipe your hands with this towel.
मेरे साथ नाचना चाहोगी क्या?	Would you like to dance with me?
मुझे एक जरूरी कॉल करनी है ।	I have an important call to make.
वह अफ़वाह किसी हद तक सच है।	The rumor is true to some extent.
हम जंगल में सैर करने गए थे।	We went for a walk in the forest.
एक और गिलास चाय लेंगे क्या?	Will you have another cup of tea?
वह लंदन तीन बार जा चुका है।	He has been to London three times.
पहाड़ पर बर्फ़ बिछी हुई है।	The mountain is covered with snow.
आप रोज़ कितने बजे उठते हैं?	What time do you get up every day?
तुम रोज़ कितने बजे उठते हो?	What time do you get up every day?
दरअसल मुझे वह पसंद नहीं है।	As a matter of fact, I dislike him.
मैं उतनी देर रुक नहीं सकता।	I don't think I can wait that long.
इस दवाई को हर छः घंटे लेना।	Take this medicine every six hours.
सितारे दिन में नहीं दिखते |	Stars cannot be seen in the daytime.
हम नदी को तैरकर पार कर पाए।	We managed to swim across the river.
वादी में से एक नदी बहती है।	A river runs down through the valley.
वह सोना का बहाना कर रही थी।	She was only pretending to be asleep.
वह जेब काटते हुए पकड़ा गया।	He was caught in the act of pickpocketing.
इस और उस में क्या फ़र्क है?	What is the difference between this and that?
मुझे ये कल तक खतम करना है ।	I've been given until tomorrow to finish this.
तुम्हारी आँखे खराब हैं क्या?	Are your eyes bad?
क्या तुम मुझपर यकीन करते हो?	Do you believe me?
उसने विदेश में पढ़ाई करी थी।	He studied abroad.
मेरे सिर में दर्द हो रहा है।	I have a headache.
तुम्हारे पास आज समय है क्या?	Are you busy today?
मुझे उस आदमी से चिढ़ आती है।	That guy annoys me.
