वह डॉक्टर नहीं है।	She's not a doctor.
उसको यकीन है कि वह परीक्षा में पास हो जाएगा।	He is confident that he will pass the examination.
हमारे पास पीने के लिए पानी नहीं था।	We had no water to drink.
यहाँ पिछले कुछ दिनों से दबाकर बारिश हो रही है।	It's been pouring here for the last few days.
मुझे नहीं पता मेरे पास यह करने के लिए समय होगा कि नहीं।	I don't know if I'll have time to do it.
मैं हैरान था कि वह सवाल का जवाब नहीं दे पाई।	To my surprise, she could not answer the question.
मुझे नहीं लगता कल बारिश होगी।	I don't think that it will rain tomorrow.
उसने मुझे उसकी गाड़ी नहीं चलाने दी।	He wouldn't allow me to drive his car.
इस और उस में क्या फ़र्क है?	What is the difference between this and that?
मछलियाँ पानी में जीतीं हैं।	Fish live in the water.
मैं टैक्सी की प्रतीक्षा कर रहा था।	I was waiting for a taxi.
स्कूल साढ़े-आठ बजे शुरू होता है।	School begins at half past eight.
मैं पिछले रविवार बाहर नहीं निकला था।	I didn't go out last Sunday.
आप को गाँव में रहना पसंद है क्या?	Do you like to live in the country?
इस और उस में क्या अंतर है?	What is the difference between this and that?
मैं कभी भी इतने दयालु व्यक्ति से नहीं मिला।	I've never met such a kind man.
मैं नहीं चाहता कि कोई भी ग़लतफ़ैमी हो।	I don't want there to be any misunderstanding.
मैं उन औरतों को जानता हूँ।	I know those women.
कोई नहीं बता सका उसका वह कहने से मतलब क्या था।	Nobody could tell what he meant by that.
उसकी गाल पर जो चोट का निशान है वह अब बहुत हल्का हो गया है।	The scar on his cheek hardly shows now.
यह कॉफ़ी इतनी गरम है कि मुझसे पी नहीं जा रही है।	This coffee is so hot that I can't drink it.
उसके दिए गए कारण को समझना मुश्किल है।	The reason which he gave is hard to understand.
मेरे पास अभी कोई पैसे नहीं हैं।	I have no money with me.
उसने किसी भी मौके को हाथ से जाने नहीं दिया।	He took advantage of every opportunity he had.
मैं उसके पिता से मिलना चाह्ता हूँ।	I would like to meet his father.
वह कभी भी इस बात का खयाल नहीं करता है कि मैं कितना व्यस्थ हूँ।	He never takes into account the fact that I am very busy.
मैं फ़ैसला कर चुका हूँ।	I've made my decision.
मैं उतनी देर रुक नहीं सकता।	I don't think I can wait that long.
यह क्या है?	What is this?
मैं उसकी सलाह की वजह से कामयाब हो गया।	Because of his advice, I was able to succeed.
मैं टीवी देखता हूँ।	I watch television.
आज दोपहर बारिश होने वाली है।	It is going to rain this afternoon.
मेरी बहन अपने कमरे को हमेशा साफ़-सुथरा रखती है।	My sister always keeps her room clean.
तुम अंग्रेज़ी नहीं बोल सकते हो क्या?	Can't you speak English?
मछलियाँ समुंदर में रहतीं हैं।	Fish live in the sea.
मुझे नहीं पता कि उसको पता है कि नहीं।	I don't know if he knows it.
खेद की बात है, लेकिन वैसा ही है।	I fear so.
रेलगाड़ी में १५ डब्बे हैं।	The train is made up of fifteen cars.
मैं तुम्हें थोड़ी देर में फ़ोन करूँगा।	I'll call you back later.
वह हफ़्ते में एक बार बाज़ार जाती थी।	She went to the market once a week.
मैं अपनी नानी से हफ़्ते में दो बार मिलने जाता हूँ।	I visit my grandmother twice a week.
मैं भूल गई।	I forgot.
मैं अपनी दादी से हफ़्ते में दो बार मिलने जाता हूँ।	I visit my grandmother twice a week.
मेरी बीवी ने अभी-अभी मेज़ को साफ़ किया है।	My wife has just cleared the table.
तुम परियों में विश्वास करते हो क्या?	Do you believe in fairies?
वह लम्बी सांस नहीं ले पाता था।	He could not breathe deeply.
स्टेशन इन दो नगरों के बीच स्थित है।	The station is located between these two towns.
मैं पैसे दूंगा।	I'll pay.
टॉम को मेरी की बात समझ नहीं आई।	Tom couldn't understand what Mary was saying.
हर घर में बगीचा था।	Every house had a garden.
इन सवालों का जवाब देना आसान है।	These questions are easy to answer.
मैं संगीत सुनता हूँ।	I listen to music.
वे जिमखाने में हैं क्या?	Are they in the gym?
मैं उससे छः महीनों में एक बार मिलता हूँ।	I meet him once every six months.
मैं अपनी वर्तमान आमदनी से संतुष्ट हूँ।	I'm satisfied with my current income.
मैं चाहता था कि वह जीत जाए।	I wanted her to win.
आज ट्रेन दस मिनट लेट है।	The train is ten minutes behind today.
मुझे घर में थोड़ा काम करना है I	I have some stuff to do at home.
वह मेरी ग़लती थी।	That was my mistake.
मुम्बई भारतीय राज्य महाराष्ट्र की राजधानी है।	Mumbai is the capital of the Indian state of Maharashtra.
मुझे कभी-कभी अपनी नौकरी छोड़ देने का मन करता है।	At times I feel like quitting my job.
उसने बच्चे को आग से बचाया।	He rescued the child from the fire.
मैं वापस आऊँगा।	I'll come back.
मैं उनका आभारी हूँ।	I am grateful to them.
मैं शराब लाता हूँ।	I'll bring the wine.
क्या मैं ग़लत था?	Was I wrong?
मुझे अगले साल विदेश जाकर पढ़ाई करने का मन है।	I want to study abroad next year.
मुझे पता लगा कि वह कहाँ थी।	I found out where she was.
तुम परियों में विश्वास करती हो क्या?	Do you believe in fairies?
तुम्हें फूलों में दिलचस्पी है क्या?	Are you interested in flowers?
फ़ुटबॉल मेरा सबसे पसंदीता खेल है।	Football is my favorite game.
इस समस्या की तहकीकात करने के लिए एक समिति स्थापित करी गई है।	A committee has been set up to investigate the problem.
स्कूल साढ़े तीन बजे छूटता है।	School is over at 3:30.
विदेषी भाषा सीखना बहुत मज़ेदार होता है।	Learning a foreign language is fun.
मैं तुम्हें एक-दो दिन में जवाब दूँगा।	I'll give you an answer in a day or two.
मैं टैक्सी का इंतेज़ार कर रहा था।	I was waiting for a taxi.
इस डब्बे में पाँच सेव हैं।	There are five apples in this box.
मैं घर पर ही रहूँगा।	I'll stay home.
वह किताब पढ़ रहा है क्या?	Is he reading a book?
किसी ने मेरी पतंग काट ली है।	Someone has cut my kite string.
तुम नहीं आ रहे हो ना?	You are not coming, are you?
मुझे नहीं लगता मैं इतना सारा काम इस दोपहर को खतम कर पाऊँगा।	I don't think I shall get through all this work this afternoon.
मुझे लगा कि वह काम खतम कर चुका था।	I thought that he had already finished the work.
मैं एक छोटी अटैची को ढूँढ रहा हूँ।	I'm looking for a small suitcase.
वह एक बार फिर देर से आई।	She was late once again.
वे इस समस्या के बारे में बातचीत कर रहे हैं।	They are discussing the problem.
अधिकारियों ने सच्चाई को आम जनता से छिपा कर रखा हुआ है।	The authorities have been hiding the facts from the public.
मैं अपना काम कर चुका हूँ।	I have already done my work.
मैं कोशिश करूँगा।	I will try.
तुम अच्छे से सोये क्या?	Did you sleep well?
उसे कोई भी पसंद नहीं करता क्योंकि वह सारे टाईम अपनी बड़ाई करता रहता है।	Nobody likes him, because he is always blowing his own horn.
वह लड़की नहीं चाहती थी कि वह लड़का विदेश जाए।	She didn't want him to go overseas.
हो सके तो मैं उससे मिलना नहीं चाहूँगा।	I'd rather not meet him.
माफ़ कीजिएगा, पर मैं आपको ठीक से सुन नहीं पा रहा हूँ।	I'm sorry, but I can't hear you well.
वह बूढ़ा किसान उसको बहुत पैसे नहीं देता था।	The old farmer did not pay him much money.
हो सके तो मैं उससे मिलना नहीं चाहूँगी।	I'd rather not meet him.
हम झील के पास एक होटल में ठहरे।	We stayed at a hotel by the lake.
इस मकान में ग्यारह कमरे हैं।	This house has eleven rooms.
सरकार शिक्षा को सुधारने मे लगी हुई है।	The government has been reforming education.
मैं इस रविवार को ड्यूटी पर हूँगा।	I'll be on duty this Sunday.
मेरी माँ अक्सर लोगों के नाम भूलती रहती है।	My mother is constantly forgetting people's names.
मैं उसके सुरक्षित लौटने के लिए बेचैन हूँ।	I'm anxious for him to return safe.
हमें नहीं पता हम कहाँ हैं।	We don't know where we are.
मैं समझा नहीं।	I do not understand.
मैं उसका बिलकुल भी यकीन नहीं करता।	I don't believe him at all.
शब्दकोश में उस वाक्यांश को ढूँढो।	Look up the phrase in your dictionary.
मैं एक और तौलिया लाती हूँ।	I'll bring one more towel.
तुम रेलगाड़ी से जाओगे क्या?	Will you go by train?
वह बच्चा हालांकि केवल चार साल का ही है, वह अभी से ही सौ तक गिनती कर सकता है।	That child is only four, but he can already count to 100.
वह मेरा अच्छा दोस्त था।	He was my dear friend.
अपनी अभिलाषाओं को पूरी करने के लिए मुझे बहुत से लोगों ने बढ़ावा दिया।	Many people encouraged me to fulfill my ambitions.
वह और उसकी पत्नी दोनो के पास गाड़ियाँ हैं।	Both he and his wife have cars.
इतिहास की क्लास नौ बजे शुरू होती है।	The history class starts at nine.
उसको अपने पुराने कपड़ो पर शर्म आती है।	She is ashamed of her old clothes.
उसने मुझसे वह बात छिपाई।	He concealed the fact from me.
माफ़ कीजिएगा, पर मैं आपको ठीक से सुन नहीं पा रही हूँ।	I'm sorry, but I can't hear you well.
मैं नहाने जा रहा हूँ।	I'm going to take a bath.
उसने दुर्घटना को अपनी आँखों से देखा था।	He witnessed the accident.
वह ज़रूर आएगा।	He is sure to come.
अगर बारिश नहीं होती है तो मैं भी जाऊँगा।	Unless it rains, I will go, too.
मैं उससे नाई के यहाँ मिला।	I met him at the barber's.
फिर मैं उससे उसके बारे में कल पूछूँगा।	I will ask him about it tomorrow, then.
मैं तुम्हें एक बात की सलाह देता हूँ।	Let me give you a piece of advice.
तुम्हारे हिसाब से वह अभी क्या कर रही होगी?	What do you think she is doing now?
मैं अपनी माँ का इंतेज़ार कर रहा हूँ।	I'm waiting for my mother.
हमने इस नगर को कल सुबह छोड़ने का इरादा किया है।	We have decided on leaving this town tomorrow morning.
तुम्हे दोपहर में क्या करने का मन है?	What do you want to do in the afternoon?
मैं कुछ कर सकता हूँ क्या?	Can I do anything?
जवाब न देना भी एक तरह का जवाब होता है।	No answer is also an answer.
कैंसर का अगर समय में पता चल जाए, तो उसका इलाज हो सकता है।	Cancer can be cured if discovered in time.
तुम शहर के इस हिस्से को अच्छी तरह से जानते हो क्या?	Do you know this part of the city very well?
बाहर नहीं जाना चाहते हो क्या?	Don't you want to go out?
वह चिल्लाने लगा।	He began to shout.
वह नीचे झुकी।	She bent down.
वह दो हफ़्तों में अपने-आप चला जाएगा।	It will go away by itself in two weeks.
वह बस दिन में कितनी बार चलती है?	How many times a day does that bus run?
तुम बाहर नहीं गए थे क्या?	Didn't you go out?
उसने खुशी से मुस्कुराया।	She smiled happily.
मेरी घड़ी के हिसाब से चार बजे हैं।	It's four o'clock by my watch.
कौआ कोयले जैसा काला होता है।	A crow is as black as coal.
मैं तुमपर भरोसा कर रहा हूँ।	I am counting on you.
वह दस साल का लड़का था।	He was then a boy of ten.
वह दो सालों में डॉक्टर बन जाएगी।	She will become a doctor in two years.
उसकी कही हुई बात अजीब लगती है।	What she says sounds strange.
उसने चुनाव में अपने विरोधी को हरा दिया।	He defeated his opponent in the election.
कल का मौसम कैसा होगा कहना मुश्किल है।	It's hard to say what the weather will be like tomorrow.
मैं निराश था कि तुमने फ़ोन नहीं किया।	I was disappointed that you didn't call.
मैं अपनी मम्मी के लिए तोह्फ़ा ढूँढ रहा हूँ।	I am looking for a present for my mother.
वे टैक्स सुधार क़ानून के पक्ष में हैं।	They are in favor of the reform of the tax laws.
वह उनके सवालों का जवाब नहीं दे सकता।	He cannot answer their questions.
मानो या न मानो, यह तो सच है।	Believe it or not, that is true.
हम चाय में चीनी डालते हैं।	We put sugar in our tea.
मेरे पापा बिजली की कम्पनी में काम करते हैं।	My father works for a power company.
मैं यहाँ तीन महीनों के लिए रहूँगा।	I'll be staying here for three months.
वह गाने लगी।	She began to sing.
आप रात में खाने के लिए क्या खाना चाहेंगे?	What would you like for supper?
वह ऐक्सीडेंट उसकी लापरवाही की वजह से हुआ।	The accident was due to his careless driving.
मेरा जन्म सन १९७७ में ओसाका में हुआ था।	I was born in Osaka in 1977.
ये तस्वीरें सच में बहुत सुंदर हैं।	These pictures are really very beautiful.
जब लोग उसके खिलाफ़ जातें हैं तो वह गुस्सा हो जाता है।	He tends to get angry when people oppose him.
आजकल कोई भी भूत-प्रेत में विश्वास नहीं करता।	Nowadays nobody believes in ghosts.
मेरी दो बहनें हैं और दोनो की शादी हो चुकी है।	I have two sisters, both of whom are married.
कहा जाता है कि औरतों की उम्र आदमियों से ज़्यादा लम्बी होती है।	It is said that women live longer than men.
गर्मी का मौसम मेरा सबसे पसंदीता मौसम है।	Summer is the season I like best.
वह कौनसी चिड़िया है?	What's that bird?
क्योटो में बहुत सारे पुराने मंदिर हैं।	There are many old temples in Kyoto.
उसने कहा कि वह खुश थी।	She said that she was happy.
मुझे नहीं पता मैं उनपर किस हद तक भरोसा कर सकता हूँ।	I have no idea to what extent I can trust them.
वह अपने पति से नफ़रत करती थी।	She hated her husband.
वह अचानक से मशहूर बन गई।	She suddenly became famous.
तुम्हारे पास जहाँ भी जाने की मर्ज़ी हो वहाँ जाने की आज़ादी है।	You have the freedom to travel wherever you like.
मैं कमरे की सफ़ाई करूँ क्या?	Shall I clean the room?
जब वह अगली बार आएगा, मैं उसे इसके बारे में बाताऊँगी।	I will tell him about it when he comes next time.
जब वह अगली बार आएगा, मैं उसे इसके बारे में बाताऊँगा।	I will tell him about it when he comes next time.
मैं शराब लाऊँगा।	I'll bring the wine.
मुझे जीव विज्ञान कभी भी पसंद नहीं था।	I never liked biology.
वह थोड़ी देर में ही वापस आ जाएगी।	She will be back before long.
उसके पास कुछ भी कहने को नहीं था, तो वह चला गया।	He had nothing to say, so he went away.
दिन ढल रहा है। तुम्हे घर जाना चाहिए।	It's getting dark. You'd better go home.
तुम मंगलवार को खाली हो क्या?	Are you free on Tuesday?
यह लिफ़्ट छटी मंज़िल तक ही जाती है।	This elevator does not go above the sixth floor.
कोई मेरी मदद नहीं कर सकता।	No one can help me.
उसने मुझे मेरी अटैची पैक करने में मदद करी।	She helped me pack my suitcase.
उसने मुझे अंग्रेज़ी में लिखी हुई चिट्ठी दिखाई।	She showed me a letter written in English.
उस दिन के लिए बहुत बहुत धन्यवाद।	Thank you for the other day.
वह धूल से लिपटी हुई गुड़िया कमरे के कोने में खड़ी हुई थी।	Covered with dust, the doll stood in the corner of the room.
आज मैं चार साल का हो गया हूँ।	Today I turn four years old.
मैं अपनी माँ से प्यार करता हूँ	I love my mother.
मैं उसके अक्खड़पन अब और बर्दाश्त नहीं कर सकता।	I cannot stand his arrogance any longer.
मैं उसको यह बात समझाउँगा।	I will explain it to him.
तुम्हें मैं याद हूँ क्या?	Do you remember me?
यह बत्ती काम नहीं करती।	The light doesn't work.
मैं तुम्हारे साथ आऊँगा।	I will come with you.
वह मुझपर गुस्सा हो गया।	He got angry with me.
मैं गाड़ी चला सकता हूँ।	I am able to drive a car.
वह सोमवार को न्यूयॉर्क चला गया।	He went to New York on Monday.
मैंने उसको अपनी कामयाबी के बारे में बताया।	I informed her of my success.
वह संगीत पढ़ने के लिए पैरिस गई।	She went to Paris to study music.
एक दिन में चौबीस घंटे होते हैं।	A day has twenty-four hours.
उसे अपनी उम्र के बारे में सोचना चाहिए था।	He ought to have made allowances for his age.
उसने पत्थर को अपने हाथ में रखकर तोला।	He weighed the stone in his hand.
मैं अपने-आप करना चाहता हूँ।	I want to do it myself.
मैं क्योटो गया हुआ हूँ।	I have been to Kyoto.
कल वह चाँद पर उतरेगा।	Tomorrow, he will land on the moon.
उसको लगता है कि उसका बेटा अभी भी ज़िंदा है।	She believes her son is still alive.
मैंने सपने में भी नहीं सोचा था कि तुम हार जाओगे।	I never dreamed that you would lose.
तुमने अपनी कमीज़ उलटी पहनी हुई है।	You are wearing your shirt inside out.
वहाँ मेरे अलावा और कोई नहीं था।	There was no one there besides me.
मैं अब थक गया हूँ।	I'm tired now.
मैं सपने में भी नहीं सोच सकता था कि तुमसे यहाँ मुलाकात होगी।	I never dreamed that I would meet you here.
भारत को ब्रिटेन से १९४७ में स्वतंत्रता प्राप्त हुई।	India gained independence from Britain in 1947.
उसका इस केस के साथ कोई लेना-देना नहीं था।	He had nothing to do with the case.
मैंने अपना कमरा अभी अभी साफ़ किया है।	I have just cleaned my room.
तुमने अपनी टी-शर्ट उलटी पहनी हुई है।	You are wearing your shirt inside out.
मैं अंग्रेज़ी पढ़ सकता हूँ।	I am able to read English.
मैं अपनी ग़लती मानता हूँ।	I admit my mistake.
वह सीड़ियों पर चढ़ गया।	He climbed the stairs.
मैं पूरी सुबह से चिट्ठियाँ लिख रहा हूँ।	I have been writing letters all morning.
मुझे भरोसा है कि वह अपना वादा निभाएगा।	I am confident he will keep his promise.
कोई भी नई भाषा सीखने में ग़लतियों से डरना नहीं चहिए।	You must not be afraid of making mistakes when learning a language.
तुम हमेशा के लिए तो जापान नहीं जा रहे हो ना?	You aren't leaving Japan for good, are you?
तुम अपने खाली समय में क्या करते हो?	What do you do in your free time?
मैं तभी से उसकी देखभाल करता आया हूँ।	I have been taking care of him ever since.
कमरे में तम्बाकू की महक थी।	The room smelled of tobacco.
मैं तुम्हारे जितना लम्बा हूँ।	I'm as tall as you.
मैं सफ़र पर उसके साथ गया।	I accompanied him on the trip.
माँ हाथ पकड़कर अपने बच्चे को ले जा रही है।	The mother is leading her child by the hand.
उसका यह करने में उद्देश्य क्या था?	What was his motive for doing it?
वह समुंदर की ओर चल रहा था।	He was walking toward the sea.
इस दोपहर को मिलते हैं।	Let's meet this afternoon.
मैं हर साल जाता हूँ।	I go every year.
वह आसमान की ओर देख रहा था।	He was looking at the sky.
जब मैं बच्चा था, मुझे कीड़ों को छूने से कोई परेशानी नहीं होती थी, पर अब मैं उनकी तस्वीरें देखना भी बर्दाश्त नहीं कर सकता।	When I was a kid, touching bugs didn't bother me a bit. Now I can hardly stand looking at pictures of them.
हम समय में पहुँच जाएँगे क्या?	Will we arrive in time?
मैं अंग्रेज़ी पढ़ा सकता हूँ।	I can teach English.
हम जंग के ख़िलाफ़ हैं।	We are against war.
मेरा उस ग्रुप के साथ कोई संबंध नहीं था।	I had nothing to do with the group.
मुझे पता है उसने क्यों किया था।	I know why he did it.
वह आज टीवी पर आएगी।	She is appearing on TV tonight.
मैं कल गाँव जा रहा हूँ।	I'm going to the village tomorrow.
ख़रीदो या न ख़रीदो तुम्हारे ऊपर है।	It is up to you whether to buy it or not.
लगता है कि तुम भारत के हो।	It looks like you are from India.
मैं तुमसे प्यार करता हूँ।	I love you.
इन दोनो में से ज़्यादा महंगा कौनसा है?	Which is the more expensive of the two?
अब तो उसे कोई चमत्कार ही बचा सकता है।	Nothing but a miracle can save her now.
वह इस तरह की बात पर गुस्सा क्यों है?	Why is he angry about something like that?
क्या तुम भगवान में विश्वास करते हो?	Do you believe in God?
मैं उससे कल दोपहर को मिलना चाहता हूँ।	I'd like to see him tomorrow afternoon.
उसकी जान-पहचान में तो बहुत लोग थे पर दोस्त कोई भी नहीं थे।	She had plenty of acquaintances, but no friends.
मैं इतनी महंगी किताब नहीं ख़रीद सकता।	I can't buy a book this expensive.
मैं उसकी अचानक मौत की खबर से चौंक गया।	I was surprised at the news of his sudden death.
मेरी ट्रेन में एक पुराने दोस्त से मुलाक़ात हुई।	I came upon an old friend of mine on the train.
पता नहीं कैसे पर तुमने कर दिया।	I don't know how, but you did it.
वह मुझसे मिलने आया था।	He came to see me.
तुम आज रात पार्टी में जाओगे क्या?	Will you go to the party tonight?
मेरे पास इतने सारे कपड़े हैं कि मुझे समझ में नहीं आ रहा है कि कल क्या पहनूँ।	I have so many clothes I don't know what to wear tomorrow.
ऐसा लगता है जैसे कि सभी लोगों को गौल्फ़ अच्छा लगता है।	It seems that everybody likes golf.
मैं उसे देखना चाहूँगा।	I'd like to see her.
वह कल रात आराम से चल बसीं।	She passed away peacefully last night.
वे काम से शहर से बाहर गए हुएँ हैं।	He's out of town on business.
मैं तुम्हें एक तोहफ़ा दूँगा।	I'll give you a present.
आज बादल कल से ज़्यादा हैं।	There are more clouds today than yesterday.
शायद हमें उस मीटिंग में जाने की ज़रूरत नहीं पड़ेगी।	It may not be necessary for us to go to that meeting.
मुझे एक दिन में काम खतम करना नामुमकिन लगा।	I found it impossible to do the work in one day.
मैं तुमसे ज़्यादा सुंदर हूँ।	I am more beautiful than you.
उसने मुझसे उसकी असभ्यता के बारे में शिक़ायत करी।	She complained to me of his rudeness.
मैं पूरी सुबह से चिट्ठियाँ लिख रही हूँ।	I have been writing letters all morning.
वह एक महान कवि ही नहीं बल्कि एक डॉक्टर भी थे।	He was a great poet as well as a doctor.
मैं परेशान था क्योंकि मुझे फ़्रांसीसी बोलनी नहीं आती थी।	I was ill at ease because I didn't speak French.
वह काम करती रही।	She kept on working.
मैं तुमसे ज़्यादा खूबसूरत हूँ।	I am more beautiful than you.
मैं आपसे प्यार करता हूँ।	I love you.
रस्सी को पानी में फेंक दिया गया।	A rope was thrown into the water.
हमारी क्लास में पचास लड़के हैं।	Our class consists of fifty boys.
क्या तुम कह रहे हो कि मेरी जान ख़तरे में है?	Are you saying my life is in danger?
वह जहाँ भी जाता है, उसका कुत्ता उसके पीछे पीछे जाता है।	His dog follows him wherever he goes.
उसने तस्वीर को देखा।	She looked at the picture.
उसने विदेश में पढ़ने का निर्णय लिया।	He made up his mind to study abroad.
कोई है क्या?	Is anybody here?
तुम दफ़्तर क्यों नहीं गए?	Why didn't you go to the office?
मैं नौकरी बदलने की सोच रही हूँ।	I am thinking of changing jobs.
मैं बड़े पैमाने पर व्यापार कर रहा हूँ।	I am doing business on a large scale.
मैंने अपने कुत्ते को पालतू जानवरों के कब्रिस्तान में बरी कर दिया।	I buried my dog at the pet cemetery.
मैं यह किताब तुम्हारे पास छोड़ूँ?	May I leave this book with you?
हमारी कक्षा में पचास लड़के हैं।	Our class consists of fifty boys.
मेरी को अपनी सुंदरता पर बहुत नाज़ था।	Mary prided herself on her beauty.
इस आदमी के पास बहुत सारे कर्ज़ हैं।	That man has many debts.
मैं एक बूढ़े आदमी की तलाश मे हूँ।	I'm looking for an old man.
मैं तुम्हें फ़ोन करूँगा।	I'll phone you.
माफ़ कीजिएगा, मेरे पापा अभी घर पर नहीं हैं।	I'm sorry, my father is out.
मैं अंग्रेज़ी पढ़ सकती हूँ।	I am able to read English.
मैं कोरिया जाना चाहता हूँ।	I want to visit Korea.
मैं तुमसे प्यार करती हूँ।	I love you.
वह मेरे बजाय वहां गया।	He went there instead of me.
क्या तुम मुझे सिखा सकते हो?	Can you teach me?
मैंने उसे पहले कभी नहीं देखा था।	I had never seen her before that time.
भारत बहुत सालों तक ग्रेट ब्रिटेन के कबज़े में था।	India was governed by Great Britain for many years.
उसके नसीब में उससे फिरसे मिलना नहीं लिखा हुआ था।	He was destined never to meet her again.
यह गाड़ी जापान में बनी थी।	This car was made in Japan.
मुझे पूरा विश्वास है कि उसने कोई भी ग़लत काम नहीं किया।	I am convinced that he did nothing wrong.
उन दिनों में मैं (रात में) जल्दी से सो जाया करता था।	In those days, I went to bed earlier.
जब बारिश होती है, तो ज़बरदस्त होती है।	When it rains, it pours.
उसने विदेश में पढ़ाई करी थी।	He studied abroad.
मुझे स्याही से ही लिखना होगा?	Must I write in ink?
घर आग में लिपटा हुआ था।	The house was in flames.
पता नहीं कैसे पर टॉम ने कर दिया।	I don't know how, but Tom did it.
टॉम मेरी की बात समझ नहीं पाया।	Tom couldn't understand what Mary was saying.
टॉम मेरी की बात समझ नहीं सका।	Tom couldn't understand what Mary was saying.
मुझे डर था कि तुम मुझे छोड़ दोगे।	I was scared that you might leave me.
मेरा पार्टी में आना ज़रूरी है क्या?	Is it necessary for me to attend the party?
हम नाव में नदी को पार करेंगे।	We'll cross the river in a boat.
मुझे एक ब्लडी मेरी चाहिए।	I'd like a Bloody Mary.
उसने मुझे चिट्ठी का जवाब न देने के लिए डाँटा।	She reproached me for not answering the letter.
यह मेरे लिए करना बहुत आसान था।	It was easy for me to do so.
भौतिक विज्ञान मेरा सबसे पसंदीता विषय है।	Physics is my favorite subject.
मैं तुम्हें खुश करूँगा।	I'll make you happy.
आराम से आओ।	Take your time.
मैं अगले हफ़्ते टोक्यो में हूँगा काम पर।	I'll be in Tokyo on business next week.
भारत में कल एक बड़ा भूकम्प हुआ था।	A big earthquake occurred in India yesterday.
तुम यहाँ किसी से मिल रहे हो क्या?	Are you meeting someone here?
उसकी खिड़की के बाहर इतना शोर हो रहा था कि वह सो नहीं पा रहा था।	He couldn't sleep because of the noise outside his window.
तुम आमतौर पर रात में खाना खाने के बाद क्या करते हो?	What do you usually do after dinner?
मुझे चीनी-वाला चीज़ें नहीं खानी चाहिएँ।	I shouldn't eat food that has sugar in it.
आज कोई है जो नहीं आया है?	Is anyone absent today?
उसने मुझे लिखना सिखाया।	He taught me how to write.
मैं गाता चला गया।	I continued singing.
मैं पुराने मंदिरों को देखने जाने का शौकीन हूँ।	My hobby is visiting old temples.
मुझे उसके मरने का डर था।	I was afraid he might die.
मैं तुम्हें फिरसे देखकर बहुत खुश हूँ।	I'm glad to see you again.
मुझे अंग्रेज़ी और संगीत पसंद हैं।	I like English and music.
सुनिए, आस-पास में कोई टॉयलेट है क्या?	Excuse me, is there a toilet nearby?
मुझे लगता है कि तुम ग़लत हो।	It seems to me that you are wrong.
मैं रोज़ दौड़ने जाता हूँ।	I run every day.
वह रोया और और रोया।	He cried and cried.
जब मैं उसके घर पर रही, उसने मुझे रहने के लिए एक बड़ा सा कमरा दिया।	She gave me a large room while I stayed at her house.
तुम कितने साल के हो?	How old are you?
मेरे घर के पड़ोस में आग लग गई थी।	A fire broke out near my house.
वह पुलिसवाला बन गया।	He became a policeman.
वह देशद्रोही बन गया।	He turned traitor.
उसको इस कब्रिस्तान में दफ़नाया गया था।	He was buried in this graveyard.
वह सोना का बहाना कर रही थी।	She was only pretending to be asleep.
मैं तुम्हें तुम्हारे होमवर्क के साथ मदद करना चाहता हूँ।	I want to help you with your homework.
मैंने तुम्हें बताया नहीं था?	Didn't I tell you so?
वह धीरे-धीरे ठीक हो जाएगा।	He will get better little by little.
मैं आपसे प्यार करती हूँ।	I love you.
इस तरह की आम कहावत को कौन नहीं जानता?	Who doesn't know such a simple proverb?
मैं शादीशुदा हूँ और मेरे दो बच्चे हैं।	I am married and have two children.
कयोंकि वह पढ़ाई नहीं करता था, उसे स्कूल से निकाल दिया गया।	They booted him out of school for not studying.
जब वह नहीं कर सकते जो करना चाह्ते हो, तो वह करो जो कर सकते हो।	When you can't do what you want, you do what you can.
मैं कल अमेरिका जाऊँगी।	I will go to America tomorrow.
हमारी मीटिंग कभी-कभार ही टाईम पर शुरू होती है।	Our meeting rarely starts on time.
वह पिछले हफ़्ते बीमार था।	He was sick last week.
मैं अपने पापा-मम्मी के वापस आने से पहले घर साफ़ करना चाहता हूँ।	I want to clean the house before my parents return.
इन दो भाषाओं में बहुत सारी समानताएं हैं।	The two languages have a lot in common.
उसने पार्टी में न जाने का फ़ैसला किया।	He decided not to go to the party.
मैं स्कूल चलकर जाती हूँ।	I go to school on foot.
उसको तैरना नहीं आता।	He doesn't know how to swim.
अपने काम से काम रखो!	Mind your own business!
यह साबित कर दिया गया कि वह चोर था।	It was proved that he was a thief.
लगभग सारे जापानी लड़कों को बास्केटबॉल खेलना अच्छा लगता है।	Almost all Japanese boys like to play baseball.
भारत में कई लोग गाय को पूज्य मानते हैं।	Cows are sacred to many people in India.
